"","ID","Valence","Arousal","Tendency_Approach","V.H","Description","Category_Valence","Category_Arousal"
"72","People_003_h",2.5957,7.1064,4.0217,"h","Car Crash","Negative","Aroused"
"73","People_136_h",2.6,6.1,2.8,"h","Drunk","Negative","Aroused"
"74","Objects_283_h",2.6222,6.8913,3.4783,"h","Crashed Car","Negative","Aroused"
"75","Animals_008_v",2.6275,6.8039,2.9216,"v","Fighting Chickens","Negative","Aroused"
"76","Faces_032_h",2.6275,6.4,3.18,"h","Boy With A Cigarette","Negative","Aroused"
"77","Animals_054_h",2.6383,6.5319,2.9362,"h","Starved Dog","Negative","Aroused"
"78","Faces_153_v",2.6458,6.8333,2.3333,"v","Mutilated Face","Negative","Aroused"
"79","Animals_025_h",2.6471,6.6346,3.0769,"h","Sheep","Negative","Aroused"
"80","Objects_002_h",2.6596,6.2708,3.8936,"h","Crashed Truck","Negative","Aroused"
"81","Animals_016_h",2.6735,6.9184,2.8,"h","Dead Hamster","Negative","Aroused"
"82","People_235_h",2.6735,6.5714,3,"h","Dead Body","Negative","Aroused"
"83","Animals_019_h",2.6809,6.3958,3.3265,"h","Dead Kangaroo","Negative","Aroused"
"84","People_125_h",2.6875,6.1429,3.0833,"h","Homeless Man","Negative","Aroused"
"85","People_001_h",2.6939,6.8367,3.551,"h","Sad Woman","Negative","Aroused"
"86","People_021_h",2.6957,6.7111,3.7447,"h","Crashed Motorcycle","Negative","Aroused"
"87","People_216_h",2.6984,7.0952,2.7188,"h","Surgery","Negative","Aroused"
"88","People_009_h",2.7021,6.5106,3.9787,"h","Car Crash","Negative","Aroused"
"89","Faces_152_h",2.7083,6.6042,2.9574,"h","Mutilated Face","Negative","Aroused"
"90","Objects_001_h",2.7234,7.1489,3.7872,"h","Burning Car","Negative","Aroused"
"91","People_008_h",2.7234,6.3617,3.5,"h","Train Crash","Negative","Aroused"
"92","Objects_285_h",2.7302,6.5323,3.8065,"h","Crashed Motorcycle","Negative","Aroused"
"93","People_209_v",2.7344,6.7344,2.7813,"v","Surgery","Negative","Aroused"
"94","Faces_170_h",2.7447,6.8542,3.4565,"h","Wounded Man","Negative","Aroused"
"95","Landscapes_022_h",2.75,6.8542,4.6087,"h","Burning House","Negative","Aroused"
"96","Faces_028_h",2.75,6.7234,3.2766,"h","Wounded Woman And A Child","Negative","Aroused"
"97","People_075_v",2.75,6.625,3.32,"v","Swastika","Negative","Aroused"
"98","People_039_v",2.7551,6.4898,3.5625,"v","Starved Child","Negative","Aroused"
"99","Faces_363_v",2.766,6.2653,4.1087,"v","Mutilated Face","Negative","Aroused"
"100","Faces_290_h",2.7708,6.2653,3.5306,"h","Homeless Man","Negative","Aroused"
"101","People_199_v",2.7857,7.1333,2.7111,"v","Surgery","Negative","Aroused"
"102","Faces_019_h",2.7872,6.6458,3.1875,"h","Baby With Cleft Lip","Negative","Aroused"
"103","Faces_031_v",2.7917,6.8125,3.4694,"v","Amputee Girl","Negative","Aroused"
"104","Faces_368_h",2.7917,6.6596,2.7447,"h","Mutilated Face","Negative","Aroused"
"105","Landscapes_002_h",2.7959,6.44,4.58,"h","Concentration Camp","Negative","Aroused"
"106","People_019_v",2.7959,6.4286,2.4082,"v","Broken Leg","Negative","Aroused"
"107","Animals_042_h",2.8163,6.3191,2.7755,"h","Mosquito","Negative","Aroused"
"108","Faces_147_v",2.8382,6.9242,2.4706,"v","Mutilated Face","Negative","Aroused"
"109","People_243_h",2.8444,6.8222,2.8261,"h","Eye Disease","Negative","Aroused"
"110","Animals_048_h",2.8478,6.617,3.8222,"h","Starved Dog","Negative","Aroused"
"111","People_142_h",2.8478,6.0435,2.9565,"h","Homeless Man","Negative","Aroused"
"112","People_004_h",2.8542,6.4894,3.9375,"h","Car Crash","Negative","Aroused"
"113","People_213_v",2.8542,6.375,2.6458,"v","Skin Disease","Negative","Aroused"
"114","People_242_v",2.8571,7.0408,2.6531,"v","Dead Sheep","Negative","Aroused"
"115","Objects_011_h",2.8696,5.8913,2.3696,"h","Rotten Soup","Negative","Aroused"
"116","Faces_007_h",2.8723,6.6458,3.4783,"h","Amputee Boy","Negative","Aroused"
"117","Objects_132_h",2.8788,6.7647,3.1194,"h","Straps","Negative","Aroused"
"118","Animals_013_h",2.8958,6.7292,3.1458,"h","Dead Deer","Negative","Aroused"
"119","Animals_057_h",2.92,5.6863,3.7451,"h","Dead Crow","Negative","Aroused"
"120","Faces_016_h",2.9242,7.0154,3.4688,"h","Armed Children","Negative","Aroused"
"121","Objects_157_h",2.9333,6.0444,2.8478,"h","Bottles","Negative","Aroused"
"122","Landscapes_007_h",2.9348,6.3261,2.5435,"h","Waste","Negative","Aroused"
"123","Animals_032_h",2.9565,6.3043,3,"h","Kangaroo Skeleton","Negative","Aroused"
"124","Animals_038_h",2.9583,6.6809,3.0426,"h","Dead Wild Boar","Negative","Aroused"
"125","People_144_h",2.9583,6.2917,3.4375,"h","Homeless Man","Negative","Aroused"
"126","Animals_067_h",2.9583,6,3.5417,"h","Dead Mouse","Negative","Aroused"
"127","People_017_h",2.9592,7.44,4.0625,"h","Fire","Negative","Aroused"
"128","People_002_v",2.96,6.4,3.56,"v","Car Crash","Negative","Aroused"
"129","Animals_064_v",2.9608,5.98,2.9804,"v","Dead Fish","Negative","Aroused"
"130","People_197_h",2.9706,5.971,2.7391,"h","Pimple","Negative","Aroused"
"131","Objects_007_h",2.98,6.24,2.6667,"h","Meat","Negative","Aroused"
"132","People_133_h",3,6.2391,4.3333,"h","Flood","Negative","Aroused"
"133","People_082_h",3,5.76,3.98,"h","Concentration Camp","Negative","Aroused"
"134","People_119_h",3,5.7021,3.5918,"h","Homeless People","Negative","Aroused"
"135","Objects_144_h",3,5.6835,2.8608,"h","Dirt","Negative","Aroused"
"136","Faces_041_h",3.0159,6.6923,4.4688,"h","Child In A Hospital","Negative","Aroused"
"137","Animals_045_h",3.02,6.8163,2.44,"h","Dead Bird","Negative","Aroused"
"138","Animals_060_h",3.02,6.5882,3.2941,"h","Sick Snow Leopard","Negative","Aroused"
"139","Faces_302_h",3.0204,6.125,3.7083,"h","Homeless Man","Negative","Aroused"
"140","People_124_h",3.0217,6.3542,3.9783,"h","Police Arresting Someone","Negative","Aroused"
"141","Animals_037_h",3.0267,6.6933,2.7105,"h","Tick","Negative","Aroused"
"142","Objects_121_v",3.0408,6.4423,3.0192,"v","Toilet","Negative","Aroused"
"143","Objects_022_h",3.0435,6.5435,2.5106,"h","Meat","Negative","Aroused"
"144","Animals_075_h",3.0444,6.4348,2.6383,"h","Sick Chinchilla","Negative","Aroused"
